Date,Value,Anomaly
189504,52.9,1.85
189604,52.34,1.29
189704,51.15,0.1
189804,50.79,-0.26
189904,50.61,-0.44
190004,51.6,0.55
190104,49.39,-1.66
190204,50.85,-0.2
190304,50.22,-0.83
190404,49.46,-1.59
190504,50.49,-0.56
190604,52.72,1.67
190704,47.53,-3.52
190804,52.75,1.7
190904,48.96,-2.09
191004,53.62,2.57
191104,50,-1.05
191204,50.58,-0.47
191304,51.39,0.34
191404,51.04,-0.01
191504,54.57,3.52
191604,50.25,-0.8
191704,48.63,-2.42
191804,49.03,-2.02
191904,51.35,0.3
192004,46.78,-4.27
192104,51.01,-0.04
192204,50.31,-0.74
192304,49.91,-1.14
192404,50.27,-0.78
192504,54.72,3.67
192604,50.04,-1.01
192704,51.58,0.53
192804,48.06,-2.99
192904,51.17,0.12
193004,54.41,3.36
193104,51.06,0.01
193204,51.6,0.55
193304,49.84,-1.21
193404,53.74,2.69
193504,49.71,-1.34
193604,50.22,-0.83
193704,50.11,-0.94
193804,51.73,0.68
193904,51.53,0.48
194004,50.23,-0.82
194104,52.02,0.97
194204,53.06,2.01
194304,52.88,1.83
194404,48.97,-2.08
194504,50.22,-0.83
194604,54.61,3.56
194704,50.95,-0.1
194804,53.35,2.3
194904,52.07,1.02
195004,48.65,-2.4
195104,49.73,-1.32
195204,51.66,0.61
195304,48.76,-2.29
195404,54.18,3.13
195504,52.86,1.81
195604,49.37,-1.68
195704,50.7,-0.35
195804,50.27,-0.78
195904,51.6,0.55
196004,52.59,1.54
196104,48.67,-2.38
196204,51.84,0.79
196304,51.89,0.84
196404,51.3,0.25
196504,51.89,0.84
196604,49.96,-1.09
196704,51.01,-0.04
196804,50.58,-0.47
196904,52.63,1.58
197004,49.44,-1.61
197104,50.27,-0.78
197204,50.81,-0.24
197304,48.83,-2.22
197404,51.55,0.5
197504,46.85,-4.2
197604,51.85,0.8
197704,54.07,3.02
197804,51.58,0.53
197904,50.14,-0.91
198004,51.44,0.39
198104,55.13,4.08
198204,48.63,-2.42
198304,47.01,-4.04
198404,49.6,-1.45
198504,54.36,3.31
198604,52.86,1.81
198704,53.53,2.48
198804,51.82,0.77
198904,52.88,1.83
199004,52.52,1.47
199104,52.54,1.49
199204,52.54,1.49
199304,49.91,-1.14
199404,52.66,1.61
199504,49.41,-1.64
199604,50.65,-0.4
199704,47.91,-3.14
199804,51.06,0.01
199904,51.55,0.5
200004,52.59,1.54
200104,53.08,2.03
200204,53.49,2.44
200304,51.89,0.84
200404,52.68,1.63
200504,52.27,1.22
200604,55.26,4.21
200704,50.54,-0.51
200804,50.4,-0.65
200904,50.92,-0.13
201004,53.24,2.19
201104,51.96,0.91
201204,54.68,3.63
201304,49.68,-1.37
201404,51.69,0.64
201504,53.24,2.19
201604,53.19,2.14
201704,53.78,2.73
