Date,Value,Anomaly
189502,26.6,-7.22
189602,35.04,1.22
189702,33.39,-0.43
189802,35.37,1.55
189902,25.5,-8.32
190002,30.76,-3.06
190102,29.86,-3.96
190202,31.46,-2.36
190302,28.42,-5.4
190402,31.59,-2.23
190502,26.94,-6.88
190602,33.69,-0.13
190702,35.46,1.64
190802,33.01,-0.81
190902,35.02,1.2
191002,29.3,-4.52
191102,33.66,-0.16
191202,31.08,-2.74
191302,29.5,-4.32
191402,29.52,-4.3
191502,35.94,2.12
191602,33.03,-0.79
191702,30.09,-3.73
191802,33.82,0
191902,32.25,-1.57
192002,33.69,-0.13
192102,36.9,3.08
192202,31.95,-1.87
192302,29.57,-4.25
192402,35.19,1.37
192502,38.3,4.48
192602,37.67,3.85
192702,37.9,4.08
192802,34.34,0.52
192902,26.92,-6.9
193002,40.1,6.28
193102,37.94,4.12
193202,36.7,2.88
193302,29.59,-4.23
193402,34.32,0.5
193502,36.01,2.19
193602,25.23,-8.59
193702,31.73,-2.09
193802,36,2.18
193902,29.98,-3.84
194002,33.85,0.03
194102,33.53,-0.29
194202,30.74,-3.08
194302,36.28,2.46
194402,34.5,0.68
194502,35.28,1.46
194602,34.88,1.06
194702,31.41,-2.41
194802,31.62,-2.2
194902,31.91,-1.91
195002,35.55,1.73
195102,34.54,0.72
195202,35.46,1.64
195302,35.87,2.05
195402,41.41,7.59
195502,31.05,-2.77
195602,32.27,-1.55
195702,38.07,4.25
195802,31.98,-1.84
195902,32.49,-1.33
196002,30.52,-3.3
196102,37.42,3.6
196202,34.92,1.1
196302,34.12,0.3
196402,31.77,-2.05
196502,32.52,-1.3
196602,31.24,-2.58
196702,32.88,-0.94
196802,32.92,-0.9
196902,32.81,-1.01
197002,35.35,1.53
197102,33.48,-0.34
197202,33.55,-0.27
197302,33.58,-0.24
197402,34.74,0.92
197502,32.76,-1.06
197602,39.56,5.74
197702,36.03,2.21
197802,27.99,-5.83
197902,28.13,-5.69
198002,32.85,-0.97
198102,36.59,2.77
198202,32.59,-1.23
198302,36.86,3.04
198402,37.38,3.56
198502,30.87,-2.95
198602,35.85,2.03
198702,37.38,3.56
198802,33.69,-0.13
198902,29.17,-4.65
199002,36.7,2.88
199102,39.81,5.99
199202,39.7,5.88
199302,31.14,-2.68
199402,31.87,-1.95
199502,37.36,3.54
199602,35.69,1.87
199702,36.05,2.23
199802,38.71,4.89
199902,39.49,5.67
200002,39.78,5.96
200102,33.98,0.16
200202,36.39,2.57
200302,32.79,-1.03
200402,33.57,-0.25
200502,37.94,4.12
200602,34.83,1.01
200702,32.41,-1.41
200802,34.7,0.88
200902,36.77,2.95
201002,31.8,-2.02
201102,33.04,-0.78
201202,37.51,3.69
201302,34.77,0.95
201402,32.13,-1.69
201502,32.99,-0.83
201602,39.47,5.65
201702,41.18,7.36
