Date,Value,Anomaly
189504,39.82,-2.3
189604,41.8,-0.32
189704,41.11,-1.01
189804,42.4,0.28
189904,37.91,-4.21
190004,41.21,-0.91
190104,39.99,-2.13
190204,41.3,-0.82
190304,40.28,-1.84
190404,40.94,-1.18
190504,40.85,-1.27
190604,40.84,-1.28
190704,42.9,0.78
190804,43.23,1.11
190904,41.44,-0.68
191004,44.12,2
191104,42.56,0.44
191204,39.14,-2.98
191304,39.87,-2.25
191404,40.44,-1.68
191504,42.49,0.37
191604,41.81,-0.31
191704,39.02,-3.1
191804,42.87,0.75
191904,41.5,-0.62
192004,40.25,-1.87
192104,44.85,2.73
192204,40.89,-1.23
192304,39.26,-2.86
192404,40.88,-1.24
192504,45.75,3.63
192604,42.45,0.33
192704,43.91,1.79
192804,41.84,-0.28
192904,40.55,-1.57
193004,44.97,2.85
193104,42.81,0.69
193204,41.89,-0.23
193304,40.42,-1.7
193404,43.61,1.49
193504,43.11,0.99
193604,39.63,-2.49
193704,40.23,-1.89
193804,44.25,2.13
193904,41.34,-0.78
194004,41.87,-0.25
194104,41.58,-0.54
194204,41.7,-0.42
194304,42.55,0.43
194404,40.66,-1.46
194504,43.68,1.56
194604,45.42,3.3
194704,40.37,-1.75
194804,41.23,-0.89
194904,41.58,-0.54
195004,41.01,-1.11
195104,40.94,-1.18
195204,41.6,-0.52
195304,42.79,0.67
195404,44.95,2.83
195504,41.32,-0.8
195604,40.8,-1.32
195704,43.35,1.23
195804,39.97,-2.15
195904,41.85,-0.27
196004,39.67,-2.45
196104,43.19,1.07
196204,41.55,-0.57
196304,43.24,1.12
196404,40.63,-1.49
196504,39.95,-2.17
196604,41.4,-0.72
196704,42.51,0.39
196804,42.35,0.23
196904,40.49,-1.63
197004,41.1,-1.02
197104,41.13,-0.99
197204,42.8,0.68
197304,42.23,0.11
197404,43.56,1.44
197504,39.44,-2.68
197604,44.57,2.45
197704,44.43,2.31
197804,40.29,-1.83
197904,40.11,-2.01
198004,41.22,-0.9
198104,44.86,2.74
198204,41.08,-1.04
198304,42.09,-0.03
198404,42.35,0.23
198504,42.9,0.78
198604,44.96,2.84
198704,44.49,2.37
198804,42.64,0.52
198904,41.57,-0.55
199004,44.65,2.53
199104,45.22,3.1
199204,45.65,3.53
199304,40.95,-1.17
199404,43.01,0.89
199504,43.37,1.25
199604,41.79,-0.33
199704,42.88,0.76
199804,43.7,1.58
199904,44.61,2.49
200004,46.14,4.02
200104,42.85,0.73
200204,43.14,1.02
200304,42.66,0.54
200404,44.55,2.43
200504,44.17,2.05
200604,44.24,2.12
200704,43.54,1.42
200804,42.32,0.2
200904,43.52,1.4
201004,42.87,0.75
201104,42.69,0.57
201204,47.53,5.41
201304,41.79,-0.33
201404,41.44,-0.68
201504,43.87,1.75
201604,46.72,4.6
201704,47.03,4.91
