year	result	name	location
2017	6 more weeks of winter[24]	Balzac Billy	Balzac, Alberta
2017	6 more weeks of winter[25]	Buckeye Chuck	Marion, Ohio
2017	Early spring[26]	Chattanooga Chuck	Chattanooga, Tennessee
2017	Early spring[27]	Chesapeake Chuck	Newport News, Virginia
2017	Early spring[28]	Chuckles	Manchester, Connecticut
2017	Early spring[29]	Dover Doug	Dover, Pennsylvania
2017	6 more weeks of winter[30][31]	Dunkirk Dave	Dunkirk, New York
2017	Early spring[32]	Fred la marmotte	Val d'Espoir, Quebec
2017	6 more weeks of winter[33]	French Creek Freddie	French Creek, West Virginia
2017	Early spring[34]	Fufu the Hedgehog	Portland, Oregon
2017	Early spring[31]	Gen Beauregard Beau Lee	Lilburn, Georgia
2017	Early spring[35]	Grady the Groundhog	Chimney Rock, North Carolina
2017	6 more weeks of winter[36]	Holtsville Hal	Holtsville, New York
2017	6 more weeks of winter[37]	Hutty the Hog	Kansas City, Missouri
2017	6 more weeks of winter[38]	Jimmy the Groundhog	Sun Prairie, Wisconsin
2017	6 more weeks of winter[39]	Lawrenceville Lucy	Lawrenceville, Pennsylvania
2017	Early spring[36]	Malverne Mel	Malverne, New York
2017	6 more weeks of winter[40]	Manitoba Merv	Oak Hammock Marsh, Manitoba
2017	6 more weeks of winter[41]	Octoraro Orphie	Quarryville, Pennsylvania
2017	6 more weeks of winter[42]	Patty Pagoda	Reading, Pennsylvania
2017	Early summer[43]	Pierre C. Shadeaux the Nutria	New Iberia, Louisiana
2017	Early Spring	Poor Richard	York, Pennsylvania
2017	6 more weeks of winter[44]	Potomac Phil	Washington, D.C.
2017	6 more weeks of winter[45]	Punxsutawney Phil	Punxsutawney, Pennsylvania
2017	Early spring[46]	Queen Charlotte	Charlotte, North Carolina
2017	Early spring[48]	Shubenacadie Sam	Shubenacadie, Nova Scotia
2017	Early spring[49]	Sir Walter Wally	Raleigh, North Carolina
2017	Early spring[50]	Staten Island Chuck	Staten Island, New York City, New York
2017	Early spring[52]	Stormy Marmot	Aurora, Colorado
2017	Early spring[53]	T-Boy the Nutria	New Orleans, Louisiana
2017	6 more weeks of winter[54]	Western Maryland Murray	Cumberland, Maryland
2017	Early spring[48]	Wiarton Willie	Wiarton, Ontario
2017	6 more weeks of winter[40]	Winnipeg Wyn	Winnipeg, Manitoba
2017	6 more weeks of winter	Woodstock Willie	Woodstock, Illinois
2016	Early spring[23]	Balzac Billy	Balzac, Alberta
2016	6 more weeks of winter[24]	Buckeye Chuck	Marion, Ohio
2016	Early spring[25]	Chattanooga Chuck	Chattanooga, Tennessee
2016	6 more weeks of winter[26]	Chesapeake Chuck	Newport News, Virginia
2016	Early spring[27]	Chuckles	Manchester, Connecticut
2016	6 more weeks of winter[28]	Dunkirk Dave	Dunkirk, New York
2016	6 more weeks of winter[29]	Fred la marmotte	Val d'Espoir, Quebec
2016	6 more weeks of winter[30]	French Creek Freddie	French Creek, West Virginia
2016	Early spring[31]	General Beauregard Lee	Lilburn, Georgia
2016	Early spring[32]	Grady the Groundhog	Chimney Rock, North Carolina
2016	Early spring[33]	Holtsville Hal	Holtsville, New York
2016	Early spring[34]	Jimmy the Groundhog	Sun Prairie, Wisconsin
2016	Early spring[33]	Malverne Mel	Malverne, New York
2016	Early spring[32]	Nibbles	Asheville, North Carolina
2016	6 more weeks of spring[35]	Pierre C. Shadeaux	New Iberia, Louisiana
