Date,Value,Anomaly
189503,39.97,-1.53
189603,38.03,-3.47
189703,38.79,-2.71
189803,41.05,-0.45
189903,37.63,-3.87
190003,41.27,-0.23
190103,40.71,-0.79
190203,41.58,0.08
190303,42.21,0.71
190403,41.76,0.26
190503,45.12,3.62
190603,36.1,-5.4
190703,45.7,4.2
190803,43.92,2.42
190903,40.35,-1.15
191003,49.44,7.94
191103,44.02,2.52
191203,35.76,-5.74
191303,38.71,-2.79
191403,40.75,-0.75
191503,36.95,-4.55
191603,42.15,0.65
191703,38.35,-3.15
191803,45.75,4.25
191903,40.89,-0.61
192003,40.28,-1.22
192103,46.63,5.13
192203,40.42,-1.08
192303,38.3,-3.2
192403,37.18,-4.32
192503,44.24,2.74
192603,39.65,-1.85
192703,42.26,0.76
192803,43.12,1.62
192903,43.56,2.06
193003,40.41,-1.09
193103,39.42,-2.08
193203,37.36,-4.14
193303,41.83,0.33
193403,42.78,1.28
193503,43.61,2.11
193603,43.43,1.93
193703,38.84,-2.66
193803,45.01,3.51
193903,42.51,1.01
194003,41.52,0.02
194103,39.2,-2.3
194203,41.31,-0.19
194303,38.5,-3
194403,38.5,-3
194503,45.54,4.04
194603,46.78,5.28
194703,38.75,-2.75
194803,38.71,-2.79
194903,40.77,-0.73
195003,38.84,-2.66
195103,38.55,-2.95
195203,37.69,-3.81
195303,43.75,2.25
195403,39.25,-2.25
195503,40.06,-1.44
195603,40.75,-0.75
195703,41.27,-0.23
195803,37.67,-3.83
195903,41.45,-0.05
196003,35.91,-5.59
196103,43.47,1.97
196203,37.9,-3.6
196303,43.72,2.22
196403,38.82,-2.68
196503,35.44,-6.06
196603,43,1.5
196703,43.63,2.13
196803,43.56,2.06
196903,36.03,-5.47
197003,38.5,-3
197103,39.65,-1.85
197203,44.04,2.54
197303,44.29,2.79
197403,44.38,2.88
197503,38.7,-2.8
197603,42.31,0.81
197703,43.18,1.68
197803,41.31,-0.19
197903,42.06,0.56
198003,39.36,-2.14
198103,42.85,1.35
198203,42.03,0.53
198303,42.4,0.9
198403,40.08,-1.42
198503,43.48,1.98
198603,46.18,4.68
198703,42.57,1.07
198803,42.4,0.9
198903,42.67,1.17
199003,44.74,3.24
199103,43.32,1.82
199203,44.71,3.21
199303,41.79,0.29
199403,44.51,3.01
199503,43.34,1.84
199603,39.02,-2.48
199703,44.67,3.17
199803,41.34,-0.16
199903,42.8,1.3
200003,46.04,4.54
200103,41.49,-0.01
200203,39.54,-1.96
200303,43.3,1.8
200403,47.41,5.91
200503,42.31,0.81
200603,42.62,1.12
200703,47.66,6.16
200803,41.86,0.36
200903,42.87,1.37
201003,43.57,2.07
201103,43.07,1.57
201203,50.41,8.91
201303,40.91,-0.59
201403,40.51,-0.99
201503,45.39,3.89
201603,47.5,6
201703,46.13,4.63
