Date,Value,Anomaly
189504,46.44,0.16
189604,45.18,-1.1
189704,44.97,-1.31
189804,45.92,-0.36
189904,44.12,-2.16
190004,46.44,0.16
190104,45.05,-1.23
190204,46.22,-0.06
190304,46.22,-0.06
190404,45.61,-0.67
190504,47.8,1.52
190604,44.41,-1.87
190704,46.62,0.34
190804,48.34,2.06
190904,44.66,-1.62
191004,51.53,5.25
191104,47.01,0.73
191204,43.17,-3.11
191304,45.05,-1.23
191404,45.9,-0.38
191504,45.76,-0.52
191604,46.2,-0.08
191704,43.49,-2.79
191804,47.39,1.11
191904,46.12,-0.16
192004,43.53,-2.75
192104,48.82,2.54
192204,45.36,-0.92
192304,44.1,-2.18
192404,43.72,-2.56
192504,49.48,3.2
192604,44.84,-1.44
192704,46.92,0.64
192804,45.59,-0.69
192904,47.36,1.08
193004,47.41,1.13
193104,45.24,-1.04
193204,44.48,-1.8
193304,45.84,-0.44
193404,48.26,1.98
193504,46.66,0.38
193604,46.82,0.54
193704,44.48,-1.8
193804,48.37,2.09
193904,47.02,0.74
194004,45.88,-0.4
194104,45.61,-0.67
194204,47.18,0.9
194304,45.69,-0.59
194404,43.74,-2.54
194504,47.88,1.6
194604,50.7,4.42
194704,44.85,-1.43
194804,46.03,-0.25
194904,46.42,0.14
195004,43.75,-2.53
195104,44.14,-2.14
195204,44.68,-1.6
195304,46.26,-0.02
195404,46.72,0.44
195504,46.46,0.18
195604,45.06,-1.22
195704,45.98,-0.3
195804,43.97,-2.31
195904,46.53,0.25
196004,44.25,-2.03
196104,46.07,-0.21
196204,44.87,-1.41
196304,47.8,1.52
196404,45.06,-1.22
196504,43.66,-2.62
196604,46.48,0.2
196704,47.32,1.04
196804,47.07,0.79
196904,44.33,-1.95
197004,43.97,-2.31
197104,44.96,-1.32
197204,47.43,1.15
197304,46.56,0.28
197404,47.96,1.68
197504,42.78,-3.5
197604,47.08,0.8
197704,48.62,2.34
197804,46.44,0.16
197904,46.1,-0.18
198004,45.4,-0.88
198104,48.99,2.71
198204,45.33,-0.95
198304,44.71,-1.57
198404,44.84,-1.44
198504,48.92,2.64
198604,49.52,3.24
198704,48.05,1.77
198804,47.11,0.83
198904,47.78,1.5
199004,48.63,2.35
199104,47.93,1.65
199204,48.62,2.34
199304,45.85,-0.43
199404,48.58,2.3
199504,46.38,0.1
199604,44.84,-1.44
199704,46.29,0.01
199804,46.2,-0.08
199904,47.18,0.9
200004,49.32,3.04
200104,47.29,1.01
200204,46.52,0.24
200304,47.6,1.32
200404,50.04,3.76
200504,47.29,1.01
200604,48.94,2.66
200704,49.1,2.82
200804,46.13,-0.15
200904,46.9,0.62
201004,48.4,2.12
201104,47.52,1.24
201204,52.54,6.26
201304,45.3,-0.98
201404,46.1,-0.18
201504,49.32,3.04
201604,50.34,4.06
201704,49.96,3.68
