Date,Value,Anomaly
189504,52.90,51.90
189604,52.34,51.34
189704,51.15,50.15
189804,50.79,49.79
189904,50.61,49.61
190004,51.60,50.60
190104,49.39,48.39
190204,50.85,49.85
190304,50.22,49.22
190404,49.46,48.46
190504,50.49,49.49
190604,52.72,51.72
190704,47.53,46.53
190804,52.75,51.75
190904,48.96,47.96
191004,53.62,52.62
191104,50.00,49.00
191204,50.58,49.58
191304,51.39,50.39
191404,51.04,50.04
191504,54.57,53.57
191604,50.25,49.25
191704,48.63,47.63
191804,49.03,48.03
191904,51.35,50.35
192004,46.78,45.78
192104,51.01,50.01
192204,50.31,49.31
192304,49.91,48.91
192404,50.27,49.27
192504,54.72,53.72
192604,50.04,49.04
192704,51.58,50.58
192804,48.06,47.06
192904,51.17,50.17
193004,54.41,53.41
193104,51.06,50.06
193204,51.60,50.60
193304,49.84,48.84
193404,53.74,52.74
193504,49.71,48.71
193604,50.22,49.22
193704,50.11,49.11
193804,51.73,50.73
193904,51.53,50.53
194004,50.23,49.23
194104,52.02,51.02
194204,53.06,52.06
194304,52.88,51.88
194404,48.97,47.97
194504,50.22,49.22
194604,54.61,53.61
194704,50.95,49.95
194804,53.35,52.35
194904,52.07,51.07
195004,48.65,47.65
195104,49.73,48.73
195204,51.66,50.66
195304,48.76,47.76
195404,54.18,53.18
195504,52.86,51.86
195604,49.37,48.37
195704,50.70,49.70
195804,50.27,49.27
195904,51.60,50.60
196004,52.59,51.59
196104,48.67,47.67
196204,51.84,50.84
196304,51.89,50.89
196404,51.30,50.30
196504,51.89,50.89
196604,49.96,48.96
196704,51.01,50.01
196804,50.58,49.58
196904,52.63,51.63
197004,49.44,48.44
197104,50.27,49.27
197204,50.81,49.81
197304,48.83,47.83
197404,51.55,50.55
197504,46.85,45.85
197604,51.85,50.85
197704,54.07,53.07
197804,51.58,50.58
197904,50.14,49.14
198004,51.44,50.44
198104,55.13,54.13
198204,48.63,47.63
198304,47.01,46.01
198404,49.60,48.60
198504,54.36,53.36
198604,52.86,51.86
198704,53.53,52.53
198804,51.82,50.82
198904,52.88,51.88
199004,52.52,51.52
199104,52.54,51.54
199204,52.54,51.54
199304,49.91,48.91
199404,52.66,51.66
199504,49.41,48.41
199604,50.65,49.65
199704,47.91,46.91
199804,51.06,50.06
199904,51.55,50.55
200004,52.59,51.59
200104,53.08,52.08
200204,53.49,52.49
200304,51.89,50.89
200404,52.68,51.68
200504,52.27,51.27
200604,55.26,54.26
200704,50.54,49.54
200804,50.40,49.40
200904,50.92,49.92
201004,53.24,52.24
201104,51.96,50.96
201204,54.68,53.68
201304,49.68,48.68
201404,51.69,50.69
201504,53.24,52.24
201604,53.20,52.20
