Date,Value,Anomaly
189502,26.60,25.60
189602,35.04,34.04
189702,33.39,32.39
189802,35.37,34.37
189902,25.50,24.50
190002,30.76,29.76
190102,29.86,28.86
190202,31.46,30.46
190302,28.42,27.42
190402,31.59,30.59
190502,26.94,25.94
190602,33.69,32.69
190702,35.46,34.46
190802,33.01,32.01
190902,35.02,34.02
191002,29.30,28.30
191102,33.66,32.66
191202,31.08,30.08
191302,29.50,28.50
191402,29.52,28.52
191502,35.94,34.94
191602,33.03,32.03
191702,30.09,29.09
191802,33.82,32.82
191902,32.25,31.25
192002,33.69,32.69
192102,36.90,35.90
192202,31.95,30.95
192302,29.57,28.57
192402,35.19,34.19
192502,38.30,37.30
192602,37.67,36.67
192702,37.90,36.90
192802,34.34,33.34
192902,26.92,25.92
193002,40.10,39.10
193102,37.94,36.94
193202,36.70,35.70
193302,29.59,28.59
193402,34.32,33.32
193502,36.01,35.01
193602,25.23,24.23
193702,31.73,30.73
193802,36.00,35.00
193902,29.98,28.98
194002,33.85,32.85
194102,33.53,32.53
194202,30.74,29.74
194302,36.28,35.28
194402,34.50,33.50
194502,35.28,34.28
194602,34.88,33.88
194702,31.41,30.41
194802,31.62,30.62
194902,31.91,30.91
195002,35.55,34.55
195102,34.54,33.54
195202,35.46,34.46
195302,35.87,34.87
195402,41.41,40.41
195502,31.05,30.05
195602,32.27,31.27
195702,38.07,37.07
195802,31.98,30.98
195902,32.49,31.49
196002,30.52,29.52
196102,37.42,36.42
196202,34.92,33.92
196302,34.12,33.12
196402,31.77,30.77
196502,32.52,31.52
196602,31.24,30.24
196702,32.88,31.88
196802,32.92,31.92
196902,32.81,31.81
197002,35.35,34.35
197102,33.48,32.48
197202,33.55,32.55
197302,33.58,32.58
197402,34.74,33.74
197502,32.76,31.76
197602,39.56,38.56
197702,36.03,35.03
197802,27.99,26.99
197902,28.13,27.13
198002,32.85,31.85
198102,36.59,35.59
198202,32.59,31.59
198302,36.86,35.86
198402,37.38,36.38
198502,30.87,29.87
198602,35.85,34.85
198702,37.38,36.38
198802,33.69,32.69
198902,29.17,28.17
199002,36.70,35.70
199102,39.81,38.81
199202,39.70,38.70
199302,31.14,30.14
199402,31.87,30.87
199502,37.36,36.36
199602,35.69,34.69
199702,36.05,35.05
199802,38.71,37.71
199902,39.49,38.49
200002,39.78,38.78
200102,33.98,32.98
200202,36.39,35.39
200302,32.79,31.79
200402,33.57,32.57
200502,37.94,36.94
200602,34.83,33.83
200702,32.41,31.41
200802,34.70,33.70
200902,36.77,35.77
201002,31.80,30.80
201102,33.04,32.04
201202,37.51,36.51
201302,34.77,33.77
201402,32.13,31.13
201502,32.99,31.99
201602,39.47,38.47
