Date,Value,Anomaly
189503,33.29,31.29
189603,36.54,34.54
189703,36.09,34.09
189803,38.21,36.21
189903,31.57,29.57
190003,36.02,34.02
190103,35.29,33.29
190203,36.52,34.52
190303,35.32,33.32
190403,36.68,34.68
190503,36.03,34.03
190603,34.90,32.90
190703,40.58,38.58
190803,38.47,36.47
190903,37.69,35.69
191003,39.37,37.37
191103,38.84,36.84
191203,33.42,31.42
191303,34.11,32.11
191403,35.14,33.14
191503,36.45,34.45
191603,37.59,35.59
191703,34.22,32.22
191803,39.79,37.79
191903,36.57,34.57
192003,36.99,34.99
192103,41.77,39.77
192203,36.19,34.19
192303,33.94,31.94
192403,36.19,34.19
192503,41.27,39.27
192603,38.66,36.66
192703,40.08,38.08
192803,38.73,36.73
192903,35.24,33.24
193003,40.26,38.26
193103,38.68,36.68
193203,37.03,35.03
193303,35.71,33.71
193403,38.55,36.55
193503,39.81,37.81
193603,34.33,32.33
193703,35.29,33.29
193803,40.51,38.51
193903,36.25,34.25
194003,37.69,35.69
194103,36.37,34.37
194203,36.03,34.03
194303,37.39,35.39
194403,36.50,34.50
194503,40.41,38.41
194603,40.83,38.83
194703,35.08,33.08
194803,35.17,33.17
194903,36.34,34.34
195003,37.20,35.20
195103,36.55,34.55
195203,36.58,34.58
195303,39.81,37.81
195403,40.33,38.33
195503,35.56,33.56
195603,36.51,34.51
195703,39.67,37.67
195803,34.83,32.83
195903,36.97,34.97
196003,33.22,31.22
196103,40.45,38.45
196203,36.41,34.41
196303,38.92,36.92
196403,35.30,33.30
196503,33.98,31.98
196603,37.12,35.12
196703,38.26,36.26
196803,38.24,36.24
196903,34.42,32.42
197003,36.93,34.93
197103,36.57,34.57
197203,38.80,36.80
197303,38.94,36.94
197403,39.56,37.56
197503,35.73,33.73
197603,40.94,38.94
197703,39.61,37.61
197803,34.65,32.65
197903,35.10,33.10
198003,36.11,34.11
198103,39.72,37.72
198203,37.31,35.31
198303,39.63,37.63
198403,38.73,36.73
198503,37.18,35.18
198603,41.02,39.02
198703,39.98,37.98
198803,38.05,36.05
198903,35.92,33.92
199003,40.72,38.72
199103,41.57,39.57
199203,42.21,40.21
199303,36.47,34.47
199403,38.19,36.19
199503,40.35,38.35
199603,37.36,35.36
199703,40.36,38.36
199803,40.03,38.03
199903,41.15,39.15
200003,42.91,40.91
200103,37.74,35.74
200203,37.97,35.97
200303,38.05,36.05
200403,40.49,38.49
200503,40.13,38.13
200603,38.73,36.73
200703,40.04,38.04
200803,38.28,36.28
200903,39.82,37.82
201003,37.69,35.69
201103,38.06,36.06
201203,43.96,41.96
201303,37.84,35.84
201403,36.32,34.32
201503,39.19,37.19
201603,43.49,41.49
