Date,Value,Anomaly
189504,39.82,36.82
189604,41.80,38.80
189704,41.11,38.11
189804,42.40,39.40
189904,37.91,34.91
190004,41.21,38.21
190104,39.99,36.99
190204,41.30,38.30
190304,40.28,37.28
190404,40.94,37.94
190504,40.85,37.85
190604,40.84,37.84
190704,42.90,39.90
190804,43.23,40.23
190904,41.44,38.44
191004,44.12,41.12
191104,42.56,39.56
191204,39.14,36.14
191304,39.87,36.87
191404,40.44,37.44
191504,42.49,39.49
191604,41.81,38.81
191704,39.02,36.02
191804,42.87,39.87
191904,41.50,38.50
192004,40.25,37.25
192104,44.85,41.85
192204,40.89,37.89
192304,39.26,36.26
192404,40.88,37.88
192504,45.75,42.75
192604,42.45,39.45
192704,43.91,40.91
192804,41.84,38.84
192904,40.55,37.55
193004,44.97,41.97
193104,42.81,39.81
193204,41.89,38.89
193304,40.42,37.42
193404,43.61,40.61
193504,43.11,40.11
193604,39.63,36.63
193704,40.23,37.23
193804,44.25,41.25
193904,41.34,38.34
194004,41.87,38.87
194104,41.58,38.58
194204,41.70,38.70
194304,42.55,39.55
194404,40.66,37.66
194504,43.68,40.68
194604,45.42,42.42
194704,40.37,37.37
194804,41.23,38.23
194904,41.58,38.58
195004,41.01,38.01
195104,40.94,37.94
195204,41.60,38.60
195304,42.79,39.79
195404,44.95,41.95
195504,41.32,38.32
195604,40.80,37.80
195704,43.35,40.35
195804,39.97,36.97
195904,41.85,38.85
196004,39.67,36.67
196104,43.19,40.19
196204,41.55,38.55
196304,43.24,40.24
196404,40.63,37.63
196504,39.95,36.95
196604,41.40,38.40
196704,42.51,39.51
196804,42.35,39.35
196904,40.49,37.49
197004,41.10,38.10
197104,41.13,38.13
197204,42.80,39.80
197304,42.23,39.23
197404,43.56,40.56
197504,39.44,36.44
197604,44.57,41.57
197704,44.43,41.43
197804,40.29,37.29
197904,40.11,37.11
198004,41.22,38.22
198104,44.86,41.86
198204,41.08,38.08
198304,42.09,39.09
198404,42.35,39.35
198504,42.90,39.90
198604,44.96,41.96
198704,44.49,41.49
198804,42.64,39.64
198904,41.57,38.57
199004,44.65,41.65
199104,45.22,42.22
199204,45.65,42.65
199304,40.95,37.95
199404,43.01,40.01
199504,43.37,40.37
199604,41.79,38.79
199704,42.88,39.88
199804,43.70,40.70
199904,44.61,41.61
200004,46.14,43.14
200104,42.85,39.85
200204,43.14,40.14
200304,42.66,39.66
200404,44.55,41.55
200504,44.17,41.17
200604,44.24,41.24
200704,43.54,40.54
200804,42.32,39.32
200904,43.52,40.52
201004,42.87,39.87
201104,42.69,39.69
201204,47.53,44.53
201304,41.79,38.79
201404,41.44,38.44
201504,43.87,40.87
201604,46.72,43.72
