Date,Value,Anomaly
189503,39.97,38.97
189603,38.03,37.03
189703,38.79,37.79
189803,41.05,40.05
189903,37.63,36.63
190003,41.27,40.27
190103,40.71,39.71
190203,41.58,40.58
190303,42.21,41.21
190403,41.76,40.76
190503,45.12,44.12
190603,36.10,35.10
190703,45.70,44.70
190803,43.92,42.92
190903,40.35,39.35
191003,49.44,48.44
191103,44.02,43.02
191203,35.76,34.76
191303,38.71,37.71
191403,40.75,39.75
191503,36.95,35.95
191603,42.15,41.15
191703,38.35,37.35
191803,45.75,44.75
191903,40.89,39.89
192003,40.28,39.28
192103,46.63,45.63
192203,40.42,39.42
192303,38.30,37.30
192403,37.18,36.18
192503,44.24,43.24
192603,39.65,38.65
192703,42.26,41.26
192803,43.12,42.12
192903,43.56,42.56
193003,40.41,39.41
193103,39.42,38.42
193203,37.36,36.36
193303,41.83,40.83
193403,42.78,41.78
193503,43.61,42.61
193603,43.43,42.43
193703,38.84,37.84
193803,45.01,44.01
193903,42.51,41.51
194003,41.52,40.52
194103,39.20,38.20
194203,41.31,40.31
194303,38.50,37.50
194403,38.50,37.50
194503,45.54,44.54
194603,46.78,45.78
194703,38.75,37.75
194803,38.71,37.71
194903,40.77,39.77
195003,38.84,37.84
195103,38.55,37.55
195203,37.69,36.69
195303,43.75,42.75
195403,39.25,38.25
195503,40.06,39.06
195603,40.75,39.75
195703,41.27,40.27
195803,37.67,36.67
195903,41.45,40.45
196003,35.91,34.91
196103,43.47,42.47
196203,37.90,36.90
196303,43.72,42.72
196403,38.82,37.82
196503,35.44,34.44
196603,43.00,42.00
196703,43.63,42.63
196803,43.56,42.56
196903,36.03,35.03
197003,38.50,37.50
197103,39.65,38.65
197203,44.04,43.04
197303,44.29,43.29
197403,44.38,43.38
197503,38.70,37.70
197603,42.31,41.31
197703,43.18,42.18
197803,41.31,40.31
197903,42.06,41.06
198003,39.36,38.36
198103,42.85,41.85
198203,42.03,41.03
198303,42.40,41.40
198403,40.08,39.08
198503,43.48,42.48
198603,46.18,45.18
198703,42.57,41.57
198803,42.40,41.40
198903,42.67,41.67
199003,44.74,43.74
199103,43.32,42.32
199203,44.71,43.71
199303,41.79,40.79
199403,44.51,43.51
199503,43.34,42.34
199603,39.02,38.02
199703,44.67,43.67
199803,41.34,40.34
199903,42.80,41.80
200003,46.04,45.04
200103,41.49,40.49
200203,39.54,38.54
200303,43.30,42.30
200403,47.41,46.41
200503,42.31,41.31
200603,42.62,41.62
200703,47.66,46.66
200803,41.86,40.86
200903,42.87,41.87
201003,43.57,42.57
201103,43.07,42.07
201203,50.41,49.41
201303,40.91,39.91
201403,40.51,39.51
201503,45.39,44.39
201603,47.50,46.50
