Date,Value,Anomaly
189504,46.44,44.44
189604,45.19,43.19
189704,44.97,42.97
189804,45.92,43.92
189904,44.12,42.12
190004,46.44,44.44
190104,45.05,43.05
190204,46.22,44.22
190304,46.22,44.22
190404,45.61,43.61
190504,47.81,45.81
190604,44.41,42.41
190704,46.62,44.62
190804,48.34,46.34
190904,44.66,42.66
191004,51.53,49.53
191104,47.01,45.01
191204,43.17,41.17
191304,45.05,43.05
191404,45.90,43.90
191504,45.76,43.76
191604,46.20,44.20
191704,43.49,41.49
191804,47.39,45.39
191904,46.12,44.12
192004,43.53,41.53
192104,48.82,46.82
192204,45.37,43.37
192304,44.11,42.11
192404,43.73,41.73
192504,49.48,47.48
192604,44.85,42.85
192704,46.92,44.92
192804,45.59,43.59
192904,47.37,45.37
193004,47.41,45.41
193104,45.24,43.24
193204,44.48,42.48
193304,45.84,43.84
193404,48.26,46.26
193504,46.66,44.66
193604,46.83,44.83
193704,44.48,42.48
193804,48.37,46.37
193904,47.02,45.02
194004,45.88,43.88
194104,45.61,43.61
194204,47.19,45.19
194304,45.69,43.69
194404,43.74,41.74
194504,47.88,45.88
194604,50.70,48.70
194704,44.85,42.85
194804,46.03,44.03
194904,46.42,44.42
195004,43.75,41.75
195104,44.14,42.14
195204,44.68,42.68
195304,46.26,44.26
195404,46.72,44.72
195504,46.46,44.46
195604,45.06,43.06
195704,45.99,43.99
195804,43.97,41.97
195904,46.53,44.53
196004,44.25,42.25
196104,46.07,44.07
196204,44.87,42.87
196304,47.81,45.81
196404,45.06,43.06
196504,43.67,41.67
196604,46.48,44.48
196704,47.32,45.32
196804,47.07,45.07
196904,44.33,42.33
197004,43.97,41.97
197104,44.96,42.96
197204,47.43,45.43
197304,46.56,44.56
197404,47.97,45.97
197504,42.78,40.78
197604,47.08,45.08
197704,48.63,46.63
197804,46.45,44.45
197904,46.10,44.10
198004,45.40,43.40
198104,48.99,46.99
198204,45.33,43.33
198304,44.71,42.71
198404,44.84,42.84
198504,48.92,46.92
198604,49.52,47.52
198704,48.05,46.05
198804,47.11,45.11
198904,47.78,45.78
199004,48.63,46.63
199104,47.93,45.93
199204,48.63,46.63
199304,45.85,43.85
199404,48.59,46.59
199504,46.38,44.38
199604,44.84,42.84
199704,46.29,44.29
199804,46.20,44.20
199904,47.18,45.18
200004,49.32,47.32
200104,47.29,45.29
200204,46.52,44.52
200304,47.60,45.60
200404,50.05,48.05
200504,47.29,45.29
200604,48.94,46.94
200704,49.10,47.10
200804,46.13,44.13
200904,46.90,44.90
201004,48.41,46.41
201104,47.52,45.52
201204,52.55,50.55
201304,45.30,43.30
201404,46.10,44.10
201504,49.32,47.32
201604,50.35,48.35
