year,result
1887,Saw Shadow
1888,Saw Shadow
1889,No Record
1890,No Shadow
1891,No Record
1892,No Record
1893,No Record
1894,No Record
1895,No Record
1896,No Record
1897,No Record
1898,Saw Shadow
1899,No Record
1900,Saw Shadow
1901,Saw Shadow
1902,No Shadow
1903,Saw Shadow
1904,Saw Shadow
1905,Saw Shadow
1906,Saw Shadow
1907,Saw Shadow
1908,Saw Shadow
1909,Saw Shadow
1910,Saw Shadow
1911,Saw Shadow
1912,Saw Shadow
1913,Saw Shadow
1914,Saw Shadow
1915,Saw Shadow
1916,Saw Shadow
1917,Saw Shadow
1918,Saw Shadow
1919,Saw Shadow
1920,Saw Shadow
1921,Saw Shadow
1922,Saw Shadow
1923,Saw Shadow
1924,Saw Shadow
1925,Saw Shadow
1926,Saw Shadow
1927,Saw Shadow
1928,Saw Shadow
1929,Saw Shadow
1930,Saw Shadow
1931,Saw Shadow
1932,Saw Shadow
1933,Saw Shadow
1934,No Shadow
1935,Saw Shadow
1936,Saw Shadow
1937,Saw Shadow
1938,Saw Shadow
1939,Saw Shadow
1940,Saw Shadow
1941,Saw Shadow
1942,Partial Shadow
1943,No Appearance by Groundhog
1944,Saw Shadow
1945,Saw Shadow
1946,Saw Shadow
1947,Saw Shadow
1948,Saw Shadow
1949,Saw Shadow
1950,No Shadow
1951,Saw Shadow
1952,Saw Shadow
1953,Saw Shadow
1954,Saw Shadow
1955,Saw Shadow
1956,Saw Shadow
1957,Saw Shadow
1958,Saw Shadow
1959,Saw Shadow
1960,Saw Shadow
1961,Saw Shadow
1962,Saw Shadow
1963,Saw Shadow
1964,Saw Shadow
1965,Saw Shadow
1966,Saw Shadow
1967,Saw Shadow
1968,Saw Shadow
1969,Saw Shadow
1970,No Shadow
1971,Saw Shadow
1972,Saw Shadow
1973,Saw Shadow
1974,Saw Shadow
1975,No Shadow
1976,Saw Shadow
1977,Saw Shadow
1978,Saw Shadow
1979,Saw Shadow
1980,Saw Shadow
1981,Saw Shadow
1982,Saw Shadow
1983,No Shadow
1984,Saw Shadow
1985,Saw Shadow
1986,No Shadow
1987,Saw Shadow
1988,No Shadow
1989,Saw Shadow
1990,No Shadow
1991,Saw Shadow
1992,Saw Shadow
1993,Saw Shadow
1994,Saw Shadow
1995,No Shadow
1996,Saw Shadow
1997,No Shadow
1998,Saw Shadow
1999,No Shadow
2000,Saw Shadow
2001,Saw Shadow
2002,Saw Shadow
2003,Saw Shadow
2004,Saw Shadow
2005,Saw Shadow
2006,Saw Shadow
2007,No Shadow
2008,Saw Shadow
2009,Saw Shadow
2010,Saw Shadow
2011,No Shadow
2012,Saw Shadow
2013,No Shadow
2014,Saw Shadow
2015,Saw Shadow
2016,No Shadow
